,Crop_names,Crop_1_yield_sole,Crop_2_yield_sole,Crop_1_yield_intercropped,Crop_2_yield_intercropped,LER_tot
0,Maize/millet,9.14,5.77,5.21,2.29,0.97
1,Maize/millet,9.14,5.77,6.21,2.18,1.06
2,Maize/soybean,9.14,2.67,7.6,1.0,1.2
3,Maize/soybean,5.74,1.86,3.16,1.05,1.12
4,Maize/soybean,9.79,2.26,8.5,1.69,1.62
5,Maize/soybean,9.79,2.26,8.39,1.79,1.65
6,Maize/soybean,9.56,2.4,8.34,1.8,1.62
7,Maize/soybean,9.56,2.4,8.15,1.95,1.66
8,Maize/wheat,4.86,9.75,3.55,7.61,1.51
9,Maize/wheat,5.47,10.87,3.83,8.48,1.48
10,Wheat/faba bean,4.1,2.9,2.06,1.46,1.01
11,Wheat/faba bean,4.38,2.32,2.11,1.54,1.14
12,Wheat/faba bean,3.85,2.76,2.47,1.61,1.22
13,Wheat/faba bean,2.95,3.35,2.13,1.68,1.22
14,Maize/wheat,6.97,12.8,3.88,8.3,1.2
15,Maize/wheat,6.97,12.8,3.93,9.26,1.29
16,Maize/wheat,7.02,12.82,4.44,8.53,1.3
17,Maize/wheat,7.02,12.82,4.8,9.94,1.46
18,Wheat/faba bean,6.19,5.15,4.59,1.69,1.07
19,Wheat/faba bean,3.95,4.75,3.24,1.5,1.14
20,Wheat/faba bean,6.28,5.0,4.7,1.88,1.12
21,Wheat/faba bean,6.04,4.35,4.74,1.53,1.14
22,Wheat/faba bean,6.25,4.31,4.75,1.99,1.22
23,Wheat/faba bean,3.66,4.93,3.86,1.64,1.39
24,Maize/peanut,10.17,3.69,9.25,0.83,1.14
25,Maize/peanut,11.54,4.1,9.96,1.28,1.17
26,Maize/soybean,8.25,3.33,5.94,1.23,1.09
27,Maize/soybean,8.25,3.33,5.52,2.03,1.28
28,Maize/soybean,8.25,3.33,5.96,1.94,1.3
29,Maize/soybean,7.26,2.16,2.66,1.57,1.09
30,Maize/soybean,7.26,2.16,5.13,0.9,1.12
31,Maize/soybean,7.26,2.16,5.44,0.81,1.13
32,Maize/soybean,7.26,2.16,5.85,0.87,1.21
33,Maize/soybean,7.26,2.16,4.47,1.31,1.22
34,Maize/soybean,7.26,2.16,4.94,1.18,1.23
35,Maize/soybean,9.57,2.44,8.69,1.43,1.49
36,Maize/soybean,9.57,2.44,6.99,1.91,1.51
37,Maize/soybean,10.44,3.68,12.87,1.0,1.51
38,Maize/soybean,10.44,3.68,13.26,2.0,1.81
39,Maize/peanut,13.47,4.05,10.63,1.25,1.1
40,Maize/peanut,7.33,4.83,5.29,2.21,1.18
41,Maize/peanut,7.33,4.83,4.38,3.31,1.28
42,Maize/peanut,7.33,4.83,3.79,3.8,1.3
43,Maize/peanut,7.33,4.83,5.91,1.32,1.08
44,Sesame/peanut,2.55,7.79,0.86,6.48,1.17
45,Oilseed rape/faba bean,0.4,8.72,0.36,2.48,1.17
46,Oilseed rape/faba bean,3.13,10.52,3.53,3.49,1.46
47,Oilseed rape/faba bean,3.23,10.52,3.63,3.55,1.46
48,Oilseed rape/faba bean,2.37,10.52,3.2,3.34,1.67
49,Maize/pea,2.25,12.91,1.51,7.8,1.28
50,Maize/pea,2.25,9.4,1.39,8.92,1.56
51,Maize/pea,2.25,10.88,1.52,9.48,1.55
52,Maize/pea,2.25,11.78,1.5,10.12,1.53
53,Maize/pea,2.25,11.95,1.59,9.84,1.53
54,Maize/peanut,7.23,5.46,6.62,1.84,1.25
55,Maize/peanut,7.78,5.48,6.79,2.46,1.32
56,Maize/peanut,9.33,5.99,7.06,2.07,1.1
57,Maize/peanut,10.52,6.16,9.0,2.16,1.21
58,Maize/mung bean,7.49,1.09,9.1,0.64,1.8
59,Maize/mung bean,7.49,1.09,3.18,1.13,1.46
60,Maize/mung bean,7.49,1.09,4.34,0.38,0.93
61,Maize/mung bean,7.49,1.09,2.88,0.66,0.99
62,Maize/mung bean,7.49,1.09,5.03,0.28,0.93
63,Maize/mung bean,7.49,1.09,5.52,0.24,0.96
64,Maize/soybean,10.09,2.33,10.01,0.34,1.14
65,Maize/soybean,10.09,2.33,8.16,0.23,0.91
66,Maize/soybean,10.09,2.33,8.06,0.62,1.07
67,Maize/soybean,10.09,2.33,7.51,0.53,0.97
68,Maize/soybean,10.09,2.33,7.06,1.19,1.21
69,Maize/soybean,10.09,2.33,8.85,0.79,1.21
70,Maize/soybean,10.09,2.33,5.04,1.11,0.98
71,Maize/pea,7.76,3.02,4.79,1.37,1.07
72,Maize/pea,7.76,3.02,4.22,1.62,1.08
73,Maize/pea,12.09,3.77,8.93,2.61,1.43
74,Maize/pea,12.23,3.66,9.42,2.52,1.46
