,Id_article,Id_obs,Authors,Title,DOI,Year_of_publication,Experiment_period,Experiment_year,Country,Study_site,Latitude,Longitude,Continent,Climate_zone,Geocoordinates,Soil_type_WRB_USDA,Soil_texture,Soil_pH,Greenhouse,Organic_ferti,Mineral_ferti,Pesticide,Irrigation,Nitrogen_rate_kg_ha,Additional_factor,Intercropping_design,Intercropping_pattern,Crop_1_Common_Name,Crop_1_Scientific_Name,Crop_2_Common_Name,Crop_2_Scientific_Name,Crop_1_yield_sole,Crop_2_yield_sole,Crop_1_yield_intercropped,Crop_2_yield_intercropped,Yield_total_intercropping,Yield_unit,Yield_measure,Data_location,LER_crop1,LER_crop2,LER_tot,LER_crop_1_calc,LER_crop_2_calc,LER_tot_calc
0,1,1,"ADHIKARY, S and BAGCHI, DK and GHOSAL, P and BANERJEE, RN and CHATTERJEE, BN",STUDIES ON MAIZE-LEGUME INTERCROPPING AND THEIR RESIDUAL EFFECTS ON SOIL FERTILITY STATUS AND SUCCEEDING CROP IN UPLAND SITUATION,10.1111/j.1439-037X.1991.tb00959.x,1991,1987-1988,1987,India,Agricultural Experimental Farm of Indian Statistical Institute at Giridih,24.1912233822818,86.3053822105898,South Asia,Cwa,Estimated,,Sandy loam (SL),,,,Yes,,,60,,Additive,Row,Maize,Zea mays L.,Groundnut,Apios americana Medik.,2.46,2.2,2.0,0.91,2.91,t/ha,Grain Yield,"Table 1, table 3",,,1.22,0.8130081300813008,0.41363636363636364,1.2266444937176644
1,1,2,"ADHIKARY, S and BAGCHI, DK and GHOSAL, P and BANERJEE, RN and CHATTERJEE, BN",STUDIES ON MAIZE-LEGUME INTERCROPPING AND THEIR RESIDUAL EFFECTS ON SOIL FERTILITY STATUS AND SUCCEEDING CROP IN UPLAND SITUATION,10.1111/j.1439-037X.1991.tb00959.x,1991,1987-1988,1987,India,Agricultural Experimental Farm of Indian Statistical Institute at Giridih,24.1912233822818,86.3053822105898,South Asia,Cwa,Estimated,,Sandy loam (SL),,,,Yes,,,60,,Additive,Row,Maize,Zea mays L.,Cowpea,Vigna unguiculata L. Walp.,2.46,0.87,2.14,0.33,2.47,t/ha,Grain Yield,"Table 1, table 3",,,1.26,0.8699186991869919,0.37931034482758624,1.2492290440145781
2,1,3,"ADHIKARY, S and BAGCHI, DK and GHOSAL, P and BANERJEE, RN and CHATTERJEE, BN",STUDIES ON MAIZE-LEGUME INTERCROPPING AND THEIR RESIDUAL EFFECTS ON SOIL FERTILITY STATUS AND SUCCEEDING CROP IN UPLAND SITUATION,10.1111/j.1439-037X.1991.tb00959.x,1991,1987-1988,1987,India,Agricultural Experimental Farm of Indian Statistical Institute at Giridih,24.1912233822818,86.3053822105898,South Asia,Cwa,Estimated,,Sandy loam (SL),,,,Yes,,,60,,Additive,Row,Maize,Zea mays L.,Mung bean,Vigna radiata L.,2.46,0.66,2.15,0.16,2.31,t/ha,Grain Yield,"Table 1, table 3",,,1.12,0.8739837398373983,0.24242424242424243,1.1164079822616406
3,1,4,"ADHIKARY, S and BAGCHI, DK and GHOSAL, P and BANERJEE, RN and CHATTERJEE, BN",STUDIES ON MAIZE-LEGUME INTERCROPPING AND THEIR RESIDUAL EFFECTS ON SOIL FERTILITY STATUS AND SUCCEEDING CROP IN UPLAND SITUATION,10.1111/j.1439-037X.1991.tb00959.x,1991,1987-1988,1988,India,Agricultural Experimental Farm of Indian Statistical Institute at Giridih,24.1912233822818,86.3053822105898,South Asia,Cwa,Estimated,,Sandy loam (SL),,,,Yes,,,60,,Additive,Row,Maize,Zea mays L.,Groundnut,Apios americana Medik.,2.94,1.66,2.83,0.73,3.56,t/ha,Grain Yield,"Table 1, table 3",,,1.44,0.9625850340136055,0.43975903614457834,1.402344070158184
4,1,5,"ADHIKARY, S and BAGCHI, DK and GHOSAL, P and BANERJEE, RN and CHATTERJEE, BN",STUDIES ON MAIZE-LEGUME INTERCROPPING AND THEIR RESIDUAL EFFECTS ON SOIL FERTILITY STATUS AND SUCCEEDING CROP IN UPLAND SITUATION,10.1111/j.1439-037X.1991.tb00959.x,1991,1987-1988,1988,India,Agricultural Experimental Farm of Indian Statistical Institute at Giridih,24.1912233822818,86.3053822105898,South Asia,Cwa,Estimated,,Sandy loam (SL),,,,Yes,,,60,,Additive,Row,Maize,Zea mays L.,Cowpea,Vigna unguiculata L. Walp.,2.94,0.21,1.48,0.57,2.05,t/ha,Grain Yield,"Table 1, table 3",,,0.85,0.5034013605442177,2.714285714285714,3.2176870748299318
5,1,6,"ADHIKARY, S and BAGCHI, DK and GHOSAL, P and BANERJEE, RN and CHATTERJEE, BN",STUDIES ON MAIZE-LEGUME INTERCROPPING AND THEIR RESIDUAL EFFECTS ON SOIL FERTILITY STATUS AND SUCCEEDING CROP IN UPLAND SITUATION,10.1111/j.1439-037X.1991.tb00959.x,1991,1987-1988,1988,India,Agricultural Experimental Farm of Indian Statistical Institute at Giridih,24.1912233822818,86.3053822105898,South Asia,Cwa,Estimated,,Sandy loam (SL),,,,Yes,,,60,,Additive,Row,Maize,Zea mays L.,Mung bean,Vigna radiata L.,2.94,0.55,2.25,0.19,2.44,t/ha,Grain Yield,"Table 1, table 3",,,1.19,0.7653061224489796,0.3454545454545454,1.110760667903525
6,2,7,"Abbes, Zouhaier and Trabelsi, Imen and Kharrat, Mohamed and Amri, Moez",Intercropping with fenugreek (Trigonella foenum-graecum) enhanced seed yield and reduced Orobanche foetida infestation in faba bean (Vicia faba),10.1080/01448765.2019.1616614,2019,2007–2009,2007-2008,Tunisia,"Oued Beja experimental station, Beja, Tunisia (36°43ʹN, 9°12ʹE)",36.7166667,9.2,Middle East & North Africa,Csa,Exact,,Clay (C),7.35,No,,,No,,0,Faba bean Badi cultivar,Additive,Row,Fava bean,Vicia faba L.,Fenugreek,Trigonella foenum-graecum L.,0.2,,0.34,,,g/plant,Seed yield,Table 2,,,,1.7,,
7,2,8,"Abbes, Zouhaier and Trabelsi, Imen and Kharrat, Mohamed and Amri, Moez",Intercropping with fenugreek (Trigonella foenum-graecum) enhanced seed yield and reduced Orobanche foetida infestation in faba bean (Vicia faba),10.1080/01448765.2019.1616614,2019,2007–2009,2007-2008,Tunisia,"Oued Beja experimental station, Beja, Tunisia (36°43ʹN, 9°12ʹE)",36.7166667,9.2,Middle East & North Africa,Csa,Exact,,Clay (C),7.35,No,,,No,,0,Faba bean Najeh cultivar,Additive,Row,Fava bean,Vicia faba L.,Fenugreek,Trigonella foenum-graecum L.,5.7,,8.31,,,g/plant,Seed yield,Table 2,,,,1.4578947368421054,,
8,2,9,"Abbes, Zouhaier and Trabelsi, Imen and Kharrat, Mohamed and Amri, Moez",Intercropping with fenugreek (Trigonella foenum-graecum) enhanced seed yield and reduced Orobanche foetida infestation in faba bean (Vicia faba),10.1080/01448765.2019.1616614,2019,2007–2009,2008-2009,Tunisia,"Oued Beja experimental station, Beja, Tunisia (36°43ʹN, 9°12ʹE)",36.7166667,9.2,Middle East & North Africa,Csa,Exact,,Clay (C),7.35,No,,,No,,0,Faba bean Badi cultivar,Additive,Row,Fava bean,Vicia faba L.,Fenugreek,Trigonella foenum-graecum L.,0.99,,1.89,,,g/plant,Seed yield,Table 2,,,,1.909090909090909,,
9,2,10,"Abbes, Zouhaier and Trabelsi, Imen and Kharrat, Mohamed and Amri, Moez",Intercropping with fenugreek (Trigonella foenum-graecum) enhanced seed yield and reduced Orobanche foetida infestation in faba bean (Vicia faba),10.1080/01448765.2019.1616614,2019,2007–2009,2008-2009,Tunisia,"Oued Beja experimental station, Beja, Tunisia (36°43ʹN, 9°12ʹE)",36.7166667,9.2,Middle East & North Africa,Csa,Exact,,Clay (C),7.35,No,,,No,,0,Faba bean Najeh cultivar,Additive,Row,Fava bean,Vicia faba L.,Fenugreek,Trigonella foenum-graecum L.,5.73,,8.67,,,g/plant,Seed yield,Table 2,,,,1.5130890052356019,,
