Crop_french,ID,Seq,Prod_loc,Climate,Marketing,Settingup,Harvest_start,Harvest_end,Winter_storage,Stor_sell_end,Norm_sell_end,Crop category,Harvest_last,Sale_last,Shmin,Shmax,Sale_Jan,Sale_Feb,Sale_Mar,Sale_Apr,Sale_May,Sale_Jun,Sale_Jul,Sale_Aug,Sale_Sep,Sale_Oct,Sale_Nov,Sale_Dec,Growing_Jan,Growing_Feb,Growing_Mar,Growing_Apr,Growing_May,Growing_Jun,Growing_Jul,Growing_Aug,Growing_Sep,Growing_Oct,Growing_Nov,Growing_Dec
Carotte botte,1133,,Field,Cool,9M,6,9,10,no,12,10,Carrot,2,4,1,16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0
Carotte conservation,1132,,Field,Cool,12M,6,10,10,yes,4,10,Carrot,2,7,1,28,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0
Pomme de terre conservation,1130,,Field,Cool,12M,4,9,10,yes,4,4,Potato,2,8,1,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0
Tomate classique,1129,,Tunnel,Mild,9M,6,8,10,no,12,10,Tomato,3,3,1,12,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0
Tomate classique,1128,,Tunnel,Mild,9M,5,7,10,no,12,10,Tomato,4,4,1,16,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0
Tomate classique,1127,,Tunnel,Mild,9M,4,7,10,no,12,10,Tomato,4,4,1,16,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0
Tomate classique,1126,,Tunnel,Mild,9M,4,6,10,no,12,10,Tomato,5,5,1,20,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0
Tomate cerise,1125,,Tunnel,Mild,9M,5,7,10,no,12,10,Tomato,4,4,1,16,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0
Tomate cerise,1124,,Tunnel,Mild,9M,4,6,10,no,12,10,Tomato,5,5,1,20,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0
Tomate cerise,1123,,Tunnel,Mild,9M,3,6,10,no,12,10,Tomato,5,5,1,20,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0
Tomate ancienne,1122,,Tunnel,Mild,9M,6,8,10,no,12,10,Tomato,3,3,1,12,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0
Tomate ancienne,1121,,Tunnel,Mild,9M,5,8,11,no,12,11,Tomato,4,4,1,16,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0
Tomate ancienne,1120,,Tunnel,Mild,9M,3,7,9,no,12,9,Tomato,3,3,1,12,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
Tomate ancienne,1119,,Tunnel,Mild,9M,5,7,10,no,12,10,Tomato,4,4,1,16,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0
